Player,Tm,Year,Rd,Pk,Age,Pos,College,From,To,G,WS,WS/48,BPM,VORP,MP,Pk_redraft_bpm,Pk_redraft_ws/48,Pk_redraft_vorp,Bust_steal
Efthimi Rentzias,DEN,1996,1,23,20.172,C,,2003,2003,35,0.2,0.058,-4.7,-0.1,144,37,37,37,-4.3
Derek Fisher,LAL,1996,1,24,21.327,G,University of Arkansas at Little Rock,1997,2014,1287,62.3,0.091,-0.9,9.3,32719,16,15,14,9.4
Martin Muursepp,UTA,1996,1,25,21.279,F,,1997,1998,83,2.0,0.100,-1.2,0.2,951,38,38,38,-3.9
Jerome Williams,DET,1996,1,26,23.053,F,Georgetown University,1997,2005,587,37.9,0.143,0.8,9.0,12755,11,5,15,9.6
Brian Evans,ORL,1996,1,27,22.292,F,Indiana University,1997,1999,102,1.7,0.076,-2.2,-0.1,1097,24,22,23,0.6
Priest Lauderdale,ATL,1996,1,28,22.305,C,Central State University,1997,1998,74,-0.8,-0.074,-8.0,-0.8,525,39,39,39,-3.6
Travis Knight,CHI,1996,1,29,21.292,C,University of Connecticut,1997,2003,371,7.9,0.083,-1.3,0.8,4566,18,18,20,2.0
Othella Harrington,HOU,1996,2,30,22.152,F-C,Georgetown University,1997,2008,709,23.1,0.080,-3.1,-4.0,13924,27,20,34,-2.2
Mark Hendrickson,PHI,1996,2,31,22.009,F,Washington State University,1997,2000,114,2.1,0.067,-4.1,-0.8,1508,32,25,28,1.7
Ryan Minor,PHI,1996,2,32,,,University of Oklahoma,,,,,,,,,40,40,40,-1.2
Moochie Norris,MIL,1996,2,33,22.340,G,University of West Florida,1997,2006,445,10.0,0.063,-2.1,-0.1,7640,23,28,24,3.7
Shawn Harvey,DAL,1996,2,34,,,West Virginia State University,,,,,,,,,41,41,41,-0.4
Joseph Blair,SEA,1996,2,35,,,University of Arizona,,,,,,,,,42,42,42,0.0
Doron Sheffer,LAC,1996,2,36,,,University of Connecticut,,,,,,,,,43,43,43,0
Jeff McInnis,DEN,1996,2,37,21.253,G,University of North Carolina,1997,2008,576,23.1,0.070,-2.6,-2.5,15927,25,24,31,1.9
Steve Hamer,BOS,1996,2,38,22.231,C,University of Tennessee,1997,1997,35,0.2,0.031,-7.5,-0.4,268,44,44,44,0
Russ Millard,PHO,1996,2,39,,,University of Iowa,,,,,,,,,45,45,45,0
Marcus Mann,GSW,1996,2,40,,,Mississippi Valley State University,,,,,,,,,46,46,46,0
Jason Sasser,SAC,1996,2,41,22.170,F,Texas Tech University,1997,1999,14,0.0,-0.014,-7.0,-0.1,108,47,47,47,0
Randy Livingston,HOU,1996,2,42,21.091,G,Louisiana State University,1997,2007,203,2.3,0.041,-3.7,-1.2,2684,31,32,29,3.2
Ben Davis,PHO,1996,2,43,23.188,F,University of Arizona,1997,2000,40,0.1,0.040,-6.0,-0.2,154,48,48,48,0
Malik Rose,CHH,1996,2,44,21.221,F,Drexel University,1997,2009,813,26.5,0.095,-1.4,1.9,13404,20,14,18,6.3
Joe Vogel,SEA,1996,2,45,,,Colorado State University,,,,,,,,,49,49,49,0
Marcus Brown,POR,1996,2,46,22.090,G,Murray State University,1997,2000,27,0.3,0.066,-3.2,-0.1,229,50,50,50,0
Ron Riley,SEA,1996,2,47,,,Arizona State University,,,,,,,,,51,51,51,0
Jamie Feick,PHI,1996,2,48,21.364,C,Michigan State University,1997,2001,201,8.2,0.091,-1.7,0.4,4316,21,16,21,4.8
Amal McCaskill,ORL,1996,2,49,22.247,F-C,Marquette University,1997,2004,114,0.5,0.024,-4.4,-0.6,968,52,52,52,0
Terrell Bell,HOU,1996,2,50,,,University of Georgia,,,,,,,,,53,53,53,0
Chris Robinson,VAN,1996,2,51,22.091,G,Western Kentucky University,1997,1998,76,-0.1,-0.003,-4.1,-0.6,1095,33,35,26,3.8
Mark Pope,IND,1996,2,52,23.294,F,University of Kentucky,1998,2005,153,1.3,0.038,-3.2,-0.5,1634,28,33,25,3.9
Jeff Nordgaard,MIL,1996,2,53,23.129,F,University of Wisconsin-Green Bay,1998,1998,13,0.0,0.043,-6.8,-0.1,48,54,54,54,0
Shandon Anderson,UTA,1996,2,54,22.183,F-G,University of Georgia,1997,2006,719,23.6,0.071,-0.8,4.9,15946,15,23,16,9.3
Ronnie Henderson,WSB,1996,2,55,,,Louisiana State University,,,,,,,,,55,55,55,0
Reggie Geary,CLE,1996,2,56,22.305,G,University of Arizona,1997,1998,101,0.6,0.032,-3.2,-0.3,931,56,56,56,0
Drew Barry,SEA,1996,2,57,23.135,G,Georgia Institute of Technology,1998,2000,60,0.6,0.051,-4.5,-0.4,598,57,57,57,0
Darnell Robinson,DAL,1996,2,58,,,University of Arkansas,,,,,,,,,58,58,58,0
Tim Duncan,SAS,1997,1,1,21.066,F-C,Wake Forest University,1998,2016,1392,206.4,0.209,5.5,89.3,47368,1,1,1,0.0
Keith Van Horn,PHI,1997,1,2,21.251,F,University of Utah,1998,2006,575,41.7,0.110,-0.2,8.4,18150,9,10,7,-42.2
Chauncey Billups,BOS,1997,1,3,20.278,G,University of Colorado,1998,2014,1043,120.8,0.176,2.5,37.6,33008,3,2,3,0.0
Antonio Daniels,VAN,1997,1,4,22.104,G,Bowling Green State University,1998,2011,872,47.0,0.115,-1.2,4.1,19671,16,8,14,-9.5
Tony Battie,DEN,1997,1,5,21.140,C-F,Texas Tech University,1998,2012,837,36.4,0.099,-1.6,1.9,17649,17,11,17,-11.4
Ron Mercer,BOS,1997,1,6,21.043,G-F,University of Kentucky,1998,2005,432,9.4,0.034,-3.3,-4.3,13418,26,30,31,-13.4
Tim Thomas,NJN,1997,1,7,20.124,F,Villanova University,1998,2010,824,35.2,0.079,-1.0,5.4,21336,14,17,10,-3.0
Adonal Foyle,GSW,1997,1,8,22.114,C,Colgate University,1998,2009,733,18.7,0.069,-0.8,3.9,13060,12,20,15,-3.9
Tracy McGrady,TOR,1997,1,9,18.037,F-G,,1998,2012,938,97.3,0.152,4.6,50.6,30658,2,4,2,45.1
Danny Fortson,MIL,1997,1,10,21.095,F,University of Cincinnati,1998,2007,440,22.3,0.121,-3.0,-2.1,8832,24,6,28,-7.5
Tariq Abdul-Wahad,SAC,1997,1,11,22.240,F,San Jose State University,1998,2003,236,3.5,0.035,-3.2,-1.5,4807,25,29,27,-6.1
Austin Croshere,IND,1997,1,12,22.061,F,Providence College,1998,2009,659,27.6,0.115,-0.5,4.3,11480,11,9,12,0.0
Derek Anderson,CLE,1997,1,13,22.348,G,University of Kentucky,1998,2008,615,43.9,0.117,0.9,13.3,17975,4,7,5,9.0
Maurice Taylor,LAC,1997,1,14,20.243,F,University of Michigan,1998,2007,534,9.9,0.036,-3.8,-5.9,13324,30,27,32,-10.0
Kelvin Cato,DAL,1997,1,15,22.309,C,Iowa State University,1998,2007,541,28.6,0.129,-0.3,4.6,10617,10,5,11,0.7
Brevin Knight,CLE,1997,1,16,21.235,G,Stanford University,1998,2009,729,32.6,0.086,-1.1,4.3,18176,15,13,13,0.7
Johnny Taylor,ORL,1997,1,17,23.027,F,University of Tennessee at Chattanooga,1998,2000,54,0.1,0.007,-3.5,-0.3,866,34,34,34,-9.0
Chris Anstey,POR,1997,1,18,22.181,C,,1998,2000,155,2.8,0.062,-2.8,-0.4,2157,22,24,19,-0.6
Scot Pollard,DET,1997,1,19,22.139,C,University of Kansas,1998,2008,506,26.6,0.153,0.6,5.5,8372,5,3,9,5.9
Paul Grant,MIN,1997,1,20,23.176,C,University of Wisconsin,1999,2004,16,-0.1,-0.043,-7.8,-0.2,111,35,35,35,-6.7
Anthony Parker,NJN,1997,1,21,22.012,G,Bradley University,1998,2012,494,24.5,0.085,0.6,9.1,13752,6,14,6,9.8
Ed Gray,ATL,1997,1,22,21.277,G,University of California,1998,1999,60,0.1,0.009,-6.2,-0.9,809,36,36,36,-6.4
Bobby Jackson,SEA,1997,1,23,24.110,G,University of Minnesota,1998,2009,755,31.4,0.090,-0.1,7.8,16790,8,12,8,8.7
Rodrick Rhodes,HOU,1997,1,24,23.280,G-F,University of Southern California,1998,2000,72,-1.6,-0.064,-6.6,-1.4,1234,33,33,25,-0.4
John Thomas,NYK,1997,1,25,21.296,F,University of Minnesota,1998,2006,208,3.2,0.067,-3.3,-0.7,2253,27,21,21,0.7
Charles Smith,MIA,1997,1,26,21.313,G,University of New Mexico,1998,2006,142,1.5,0.036,-1.7,0.2,1973,18,28,18,1.6
Jacque Vaughn,UTA,1997,1,27,22.140,G,University of Kansas,1998,2009,776,15.4,0.058,-4.2,-7.1,12658,31,25,33,-5.6
Keith Booth,CHI,1997,1,28,22.265,F,University of Maryland,1998,1999,45,-0.8,-0.080,-6.2,-0.5,449,37,37,37,-5.0
Serge Zwikker,HOU,1997,2,29,,,University of North Carolina,,,,,,,,,38,38,38,-4.0
Mark Sanford,MIA,1997,2,30,,,University of Washington,,,,,,,,,39,39,39,-4.0
Charles O'Bannon,DET,1997,2,31,22.129,G-F,University of California Los Angeles,1998,1999,48,0.6,0.070,-2.8,-0.1,399,40,40,40,-2.8
James Cotton,DEN,1997,2,32,21.199,G,California State University Long Beach,1998,1999,19,0.0,0.008,-14.7,-0.3,92,41,41,41,-1.2
Marko Milic,PHI,1997,2,33,20.054,G-F,,1998,1999,44,0.2,0.047,-2.5,0.0,216,42,42,42,0.0
Bubba Wells,DAL,1997,2,34,22.340,F,Austin Peay State University,1998,1998,39,0.1,0.013,-5.0,-0.3,395,43,43,43,0
Kebu Stewart,PHI,1997,2,35,23.194,F,California State University Bakersfield,1998,1998,15,0.2,0.098,-5.5,-0.1,110,44,44,44,0
James Collins,PHI,1997,2,36,23.238,G,Florida State University,1998,1998,23,0.0,0.008,-5.2,-0.1,103,45,45,45,0
Marc Jackson,GSW,1997,2,37,22.166,C,Temple University,2001,2007,387,13.0,0.082,-3.6,-3.1,7572,28,15,29,4.0
Jerald Honeycutt,MIL,1997,2,38,22.254,F-G,Tulane University,1998,1999,54,0.3,0.020,-3.8,-0.3,632,46,46,46,0
Anthony Johnson,SAC,1997,2,39,22.272,G,College of Charleston,1998,2010,793,23.2,0.072,-2.1,-0.4,15552,19,19,20,6.7
Eddie Elisma,SEA,1997,2,40,,,Georgia Institute of Technology,,,,,,,,,47,47,47,0
Jason Lawson,DEN,1997,2,41,22.302,C,Villanova University,1998,1998,17,0.5,0.280,4.8,0.1,80,48,48,48,0
Stephen Jackson,PHO,1997,2,42,19.086,F-G,Butler County Community College,2001,2014,858,36.1,0.063,0.0,13.6,27398,7,23,4,20.7
Gordon Malone,MIN,1997,2,43,,,West Virginia University,,,,,,,,,49,49,49,0
Cedric Henderson,CLE,1997,2,44,22.112,F,University of Memphis,1998,2002,260,3.3,0.026,-2.4,-0.7,6182,20,31,22,6.4
God Shammgod,WAS,1997,2,45,21.062,G,Providence College,1998,1998,20,-0.1,-0.049,-9.6,-0.3,146,50,50,50,0
Eric Washington,ORL,1997,2,46,23.100,G,University of Alabama,1998,1999,104,0.1,0.002,-3.7,-1.0,2300,29,32,24,6.1
Alvin Williams,POR,1997,2,47,22.329,G,Villanova University,1998,2007,460,21.7,0.082,-0.9,3.6,12610,13,16,16,10.7
Predrag Drobnjak,WAS,1997,2,48,21.247,C,,2002,2005,278,5.6,0.048,-4.2,-3.1,5542,32,26,30,4.0
Alain Digbeu,ATL,1997,2,49,,,,,,,,,,,,51,51,51,0
Chris Crawford,ATL,1997,2,50,22.049,F,Marquette University,1998,2004,252,6.5,0.078,-2.9,-0.9,3985,23,18,23,6.2
DeJuan Wheat,LAL,1997,2,51,23.260,G,University of Louisville,1998,1999,80,0.5,0.034,-4.4,-0.4,740,52,52,52,0
C.J. Bruton,VAN,1997,2,52,,,Indian Hills Community College,,,,,,,,,53,53,53,0
Paul Rogers,LAL,1997,2,53,,,Gonzaga University,,,,,,,,,54,54,54,0
Mark Blount,SEA,1997,2,54,21.213,C,University of Pittsburgh,2001,2009,605,18.8,0.065,-2.4,-1.4,13981,21,22,26,5.7
Ben Pepper,BOS,1997,2,55,,,,,,,,,,,,55,55,55,0
Nate Erdmann,UTA,1997,2,56,,,University of Oklahoma,,,,,,,,,56,56,56,0
Roberto Duenas,CHI,1997,2,57,,,,,,,,,,,,57,57,57,0
Michael Olowokandi,LAC,1998,1,1,23.088,C,University of the Pacific,1999,2007,500,2.5,0.009,-4.5,-8.3,13129,36,38,40,-74.0
Mike Bibby,VAN,1998,1,2,20.047,G,University of Arizona,1999,2012,1001,73.2,0.104,0.5,21.2,33962,7,11,5,-40.5
Raef LaFrentz,DEN,1998,1,3,22.031,F-C,University of Kansas,1999,2008,563,39.4,0.130,1.5,12.8,14545,5,4,8,-40.4
Antawn Jamison,TOR,1998,1,4,22.017,F,University of North Carolina,1999,2014,1083,87.8,0.112,-0.2,17.4,37638,17,7,6,-16.7
Vince Carter,GSW,1998,1,5,21.154,G-F,University of North Carolina,1999,2016,1274,118.4,0.137,3.1,53.2,41336,3,3,3,32.0
Robert Traylor,DAL,1998,1,6,21.148,F,University of Michigan,1999,2005,438,13.3,0.102,0.3,3.6,6243,10,13,20,-13.8
Jason Williams,SAC,1998,1,7,22.224,G,University of Florida,1999,2011,788,38.5,0.080,-0.7,7.8,23188,19,21,15,-7.5
Larry Hughes,PHI,1998,1,8,19.157,G,Saint Louis University,1999,2012,727,32.3,0.069,-0.3,9.7,22368,18,28,12,-3.1
Dirk Nowitzki,MIL,1998,1,9,20.010,F,,1999,2016,1340,198.8,0.202,3.5,65.7,47249,1,1,1,53.9
Paul Pierce,BOS,1998,1,10,20.259,F-G,University of Kansas,1999,2016,1318,149.9,0.158,3.4,61.7,45603,2,2,2,50.7
Bonzi Wells,DET,1998,1,11,21.274,G-F,Ball State University,1999,2008,591,29.4,0.093,0.4,9.3,15133,8,14,13,-1.6
Michael Doleac,ORL,1998,1,12,21.014,C,University of Utah,1999,2008,587,12.7,0.070,-3.7,-3.8,8789,33,26,39,-13.5
Keon Clark,ORL,1998,1,13,23.075,F,University of Nevada Las Vegas,1999,2004,353,18.2,0.110,-0.1,3.8,7971,15,8,19,-5.5
Michael Dickerson,HOU,1998,1,14,23.005,G-F,University of Arizona,1999,2003,212,9.6,0.061,-1.2,1.6,7490,21,31,22,-6.6
Matt Harpring,ORL,1998,1,15,22.029,F,Georgia Institute of Technology,1999,2009,665,41.9,0.114,-0.1,8.2,17584,16,6,14,0.4
Bryce Drew,HOU,1998,1,16,23.282,G,Valparaiso University,1999,2004,243,2.4,0.030,-4.6,-2.6,3970,37,36,37,-9.1
Rasho Nesterovic,MIN,1998,1,17,22.030,C,,1999,2010,811,39.9,0.107,0.4,11.0,17983,9,9,10,5.2
Mirsad Turkcan,HOU,1998,1,18,22.022,F,,2000,2000,17,0.0,-0.019,-6.0,-0.1,90,41,41,41,-13.8
Pat Garrity,MIL,1998,1,19,21.310,F,University of Notre Dame,1999,2008,552,18.7,0.081,-1.8,0.7,11062,23,19,23,-3.1
Roshown McLeod,ATL,1998,1,20,22.225,F,Duke University,1999,2001,113,0.2,0.004,-5.0,-1.6,2130,39,39,31,-5.2
Ricky Davis,CHH,1998,1,21,18.279,G,University of Iowa,1999,2010,736,28.0,0.061,-0.8,6.5,21927,20,32,16,3.2
Brian Skinner,LAC,1998,1,22,22.041,F,Baylor University,1999,2012,608,15.8,0.070,-2.4,-1.0,10910,26,27,28,-2.6
Tyronn Lue,DEN,1998,1,23,21.057,G,University of Nebraska,1999,2009,554,19.7,0.075,-2.8,-2.5,12564,29,24,36,-3.2
Felipe Lopez,SAS,1998,1,24,23.193,G,St. John's University,1999,2002,249,3.1,0.036,-2.7,-0.7,4145,28,35,27,-0.7
Al Harrington,IND,1998,1,25,18.132,F,,1999,2014,981,42.5,0.073,-1.2,5.5,28009,22,25,18,5.9
Sam Jacobson,LAL,1998,1,26,22.343,G-F,University of Minnesota,1999,2001,68,1.1,0.071,-3.5,-0.3,752,42,42,42,-7.9
Vladimir Stepania,SEA,1998,1,27,22.052,C,,1999,2004,270,5.2,0.067,-3.9,-1.8,3726,35,29,33,-1.1
Corey Benjamin,CHI,1998,1,28,20.125,G,Oregon State University,1999,2003,153,-0.9,-0.019,-5.6,-2.0,2191,40,40,34,-1.0
Nazr Mohammed,UTA,1998,1,29,20.297,C,University of Kentucky,1999,2016,1005,34.3,0.104,-2.5,-2.0,15891,27,12,35,-0.9
Ansu Sesay,DAL,1998,2,30,21.335,F,University of Mississippi,2002,2005,127,1.4,0.051,-3.3,-0.4,1301,32,34,25,0.9
Ruben Patterson,LAL,1998,2,31,22.334,F,University of Cincinnati,1999,2008,649,35.1,0.106,0.9,11.8,15955,6,10,9,13.4
Rashard Lewis,SEA,1998,2,32,18.325,F,,1999,2014,1049,90.9,0.130,2.0,34.1,33541,4,5,4,35.8
Jelani McCoy,SEA,1998,2,33,20.205,C,University of California Los Angeles,1999,2008,260,5.1,0.064,-3.1,-1.1,3824,30,30,29,0.7
Shammond Williams,CHI,1998,2,34,23.086,G,University of North Carolina,1999,2007,325,8.8,0.079,-2.3,-0.4,5351,25,23,26,1.6
Bruno Sundov,DAL,1998,2,35,18.139,C,,1999,2005,102,-0.7,-0.062,-9.7,-1.0,524,43,43,43,-6.3
Jerome James,SAC,1998,2,36,22.225,C,Florida Agricultural and Mechanical University,1999,2009,358,2.9,0.029,-3.1,-1.3,4771,31,37,30,1.2
Casey Shaw,PHI,1998,2,37,22.345,C,University of Toledo,1999,1999,9,-0.1,-0.498,-27.8,-0.1,14,44,44,44,-5.7
DeMarco Johnson,NYK,1998,2,38,22.267,F,University of North Carolina at Charlotte,2000,2000,5,-0.1,-0.091,-11.9,-0.1,37,45,45,45,-5.6
Rafer Alston,MIL,1998,2,39,21.340,G,California State University Fresno,2000,2010,671,32.9,0.081,0.2,10.9,19392,11,20,11,14.7
Korleone Young,DET,1998,2,40,19.180,F,,1999,1999,3,0.1,0.280,6.0,0.0,15,46,46,46,0.0
Cuttino Mobley,HOU,1998,2,41,22.302,G,University of Rhode Island,1999,2009,747,52.2,0.091,0.2,15.3,27618,12,17,7,23.6
Miles Simon,ORL,1998,2,42,22.221,G,University of Arizona,1999,1999,5,-0.1,-0.289,-15.5,-0.1,19,47,47,47,0
Jahidi White,WAS,1998,2,43,22.131,F-C,Georgetown University,1999,2005,334,10.4,0.085,-3.8,-2.7,5913,34,18,38,5.6
Sean Marks,NYK,1998,2,44,22.311,F-C,University of California,1999,2011,230,2.6,0.055,-4.9,-1.7,2275,38,33,32,6.6
Toby Bailey,LAL,1998,2,45,22.223,G,University of California Los Angeles,1999,2000,73,1.0,0.072,-4.0,-0.3,698,48,48,48,0
Andrae Patterson,MIN,1998,2,46,22.230,F,Indiana University,1999,2000,40,0.7,0.114,-0.5,0.1,304,49,49,49,0
Tyson Wheeler,TOR,1998,2,47,22.265,G,University of Rhode Island,1999,1999,1,0.1,1.367,19.6,0.0,3,50,50,50,0
Ryan Stack,CLE,1998,2,48,22.341,F,University of South Carolina,1999,2000,43,0.2,0.028,-4.6,-0.3,397,51,51,51,0
Cory Carr,ATL,1998,2,49,22.207,G,Texas Tech University,1999,1999,42,-1.2,-0.089,-8.8,-1.1,624,52,52,52,0
Andrew Betts,CHH,1998,2,50,,,California State University Long Beach,,,,,,,,,53,53,53,0
Corey Brewer,MIA,1998,2,51,,,University of Oklahoma,,,,,,,,,54,54,54,0
Derrick Dial,SAS,1998,2,52,22.192,G,Eastern Michigan University,2000,2004,82,0.6,0.045,-3.5,-0.3,687,55,55,55,0
Greg Buckner,DAL,1998,2,53,21.286,G,Clemson University,2000,2009,570,20.9,0.092,0.1,5.8,10895,13,15,17,14.1
Tremaine Fowlkes,DEN,1998,2,54,22.079,F,California State University Fresno,2002,2005,103,2.1,0.080,-2.1,0.0,1233,24,22,24,8.3
Ryan Bowen,DEN,1998,2,55,22.222,F,University of Iowa,2000,2010,507,12.4,0.092,0.0,3.3,6502,14,16,21,11.6
J.R. Henderson,VAN,1998,2,56,21.242,F,University of California Los Angeles,1999,1999,30,-0.2,-0.025,-6.1,-0.3,331,56,56,56,0
Torraye Braggs,UTA,1998,2,57,22.045,F,Xavier University,2004,2005,22,0.3,0.071,-4.1,-0.1,178,57,57,57,0
Maceo Baston,CHI,1998,2,58,23.032,F,University of Michigan,2003,2009,105,2.3,0.134,-1.3,0.1,831,58,58,58,0
Elton Brand,CHI,1999,1,1,20.116,F,Duke University,2000,2016,1058,109.6,0.151,3.1,45.2,34910,5,3,3,-6.9
Steve Francis,VAN,1999,1,2,22.134,G,University of Maryland,2000,2008,576,54.1,0.120,3.2,28.2,21632,3,9,10,-17.3
Baron Davis,CHH,1999,1,3,20.083,G,University of California Los Angeles,2000,2012,835,63.1,0.106,2.7,34.1,28592,6,15,6,-11.1
Lamar Odom,LAC,1999,1,4,19.241,F,University of Rhode Island,2000,2013,961,77.0,0.115,2.5,36.3,32131,7,12,5,-6.1
Jonathan Bender,TOR,1999,1,5,18.155,F,,2000,2010,262,3.8,0.047,-3.5,-1.5,3847,31,30,33,-37.8
Wally Szczerbiak,MIN,1999,1,6,22.122,F,Miami University,2000,2009,651,53.3,0.127,0.5,12.8,20052,13,8,13,-21.3
Richard Hamilton,WAS,1999,1,7,21.141,G-F,University of Connecticut,2000,2013,921,62.8,0.102,-0.6,10.5,29559,18,16,14,-23.3
Andre Miller,CLE,1999,1,8,23.108,G,University of Utah,2000,2016,1304,100.8,0.120,1.1,31.7,40268,12,10,8,0.0
Shawn Marion,PHO,1999,1,9,21.059,F,University of Nevada Las Vegas,2000,2015,1163,124.9,0.150,3.2,52.1,40097,4,5,1,22.1
Jason Terry,ATL,1999,1,10,21.293,G,University of Arizona,2000,2016,1285,99.1,0.119,1.4,33.8,39855,9,11,7,5.6
Trajan Langdon,CLE,1999,1,11,23.053,G,Duke University,2000,2002,119,2.9,0.079,-1.9,0.1,1738,25,21,25,-18.7
Aleksandar Radojevic,TOR,1999,1,12,22.331,C,Barton County Community College,2000,2005,15,-0.4,-0.130,-9.4,-0.3,152,39,39,39,-15.8
Corey Maggette,SEA,1999,1,13,19.235,F,Duke University,2000,2013,827,62.2,0.128,-0.4,9.5,23358,16,7,15,-3.3
William Avery,MIN,1999,1,14,19.331,G,Duke University,2000,2002,142,-0.9,-0.034,-7.2,-1.6,1205,38,38,36,-12.1
Frederic Weis,NYK,1999,1,15,,,,,,,,,,,,40,40,40,-12.3
Metta World Peace,CHI,1999,1,16,19.234,F,St. John's University,2000,2016,966,61.3,0.094,1.8,30.0,31280,8,17,9,23.4
Cal Bowdler,ATL,1999,1,17,22.096,F,Old Dominion University,2000,2002,142,1.8,0.061,-4.7,-0.9,1383,35,27,29,-3.6
James Posey,DEN,1999,1,18,22.173,F-G,Xavier University,2000,2011,864,51.6,0.107,1.2,18.8,23260,11,14,11,16.3
Quincy Lewis,UTA,1999,1,19,22.009,F,University of Minnesota,2000,2004,159,0.8,0.020,-4.0,-0.9,1853,32,37,30,-3.3
Dion Glover,ATL,1999,1,20,20.256,G,Georgia Institute of Technology,2000,2005,294,5.8,0.045,-2.4,-0.7,6132,26,31,27,-2.6
Jeff Foster,GSW,1999,1,21,22.170,F-C,Texas State University,2000,2012,764,47.5,0.145,1.3,13.0,15750,10,6,12,11.8
Kenny Thomas,HOU,1999,1,22,21.345,F,University of New Mexico,2000,2010,632,31.2,0.086,-0.5,6.6,17306,17,19,16,5.8
Devean George,LAL,1999,1,23,21.310,G-F,Augsburg College,2000,2010,630,18.2,0.075,-1.2,2.5,11682,21,24,18,1.7
Andrei Kirilenko,UTA,1999,1,24,18.136,F,,2002,2015,797,75.4,0.151,5.0,42.4,23916,2,4,4,41.9
Tim James,MIA,1999,1,25,22.191,F,University of Miami,2000,2002,43,0.0,-0.003,-7.1,-0.3,261,41,41,41,-2.9
Vonteego Cummings,IND,1999,1,26,23.127,G,University of Pittsburgh,2000,2002,199,2.2,0.028,-2.9,-0.9,3789,27,34,31,-0.4
Jumaine Jones,ATL,1999,1,27,20.145,F,University of Georgia,2000,2007,471,15.1,0.074,-1.0,2.4,9780,19,25,19,3.1
Scott Padgett,UTA,1999,1,28,23.077,F,University of Kentucky,2000,2007,448,13.2,0.113,-0.1,2.7,5613,15,13,17,3.4
Leon Smith,SAS,1999,1,29,18.244,C,,2002,2004,15,0.2,0.112,-4.3,-0.1,104,42,42,42,-1.9
John Celestand,LAL,1999,2,30,22.121,G,Villanova University,2000,2000,16,-0.1,-0.038,-7.4,-0.3,185,43,43,43,-1.9
Rico Hill,LAC,1999,2,31,,,Illinois State University,,,,,,,,,44,44,44,-1.9
Michael Ruffin,CHI,1999,2,32,22.165,F,University of Tulsa,2000,2009,414,6.8,0.055,-1.2,1.2,5966,22,28,21,2.1
Chris Herren,DEN,1999,2,33,23.282,G,California State University Fresno,2000,2001,70,0.5,0.025,-5.6,-0.9,1005,36,35,32,0.6
Evan Eschmeyer,NJN,1999,2,34,24.037,C,Northwestern University,2000,2003,153,4.0,0.090,-1.1,0.5,2138,20,18,24,2.0
Calvin Booth,WAS,1999,2,35,23.059,C,Pennsylvania State University,2000,2009,366,8.0,0.086,-1.3,0.8,4477,23,20,22,2.3
Wang Zhizhi,DAL,1999,2,36,21.362,C,,2001,2005,137,2.1,0.078,-4.3,-0.7,1256,33,22,28,0.9
Obinna Ekezie,VAN,1999,2,37,23.318,F-C,University of Maryland,2000,2005,143,1.7,0.054,-6.1,-1.5,1516,37,29,34,1.0
Laron Profit,ORL,1999,2,38,21.334,G-F,University of Maryland,2000,2006,135,0.7,0.021,-3.4,-0.5,1537,30,36,26,2.3
A.J. Bramlett,CLE,1999,2,39,22.176,C,University of Arizona,2000,2000,8,-0.2,-0.129,-16.8,-0.2,61,45,45,45,0
Gordan Giricek,DAL,1999,2,40,22.015,G-F,,2003,2008,384,8.0,0.044,-3.1,-2.5,8824,28,32,37,0.3
Francisco Elson,DEN,1999,2,41,23.128,C,University of California,2004,2012,472,11.7,0.078,-1.6,0.8,7207,24,23,23,3.6
Louis Bullock,MIN,1999,2,42,,,University of Michigan,,,,,,,,,46,46,46,0
Lee Nailon,CHH,1999,2,43,24.134,F,Texas Christian University,2001,2006,306,8.0,0.066,-3.1,-1.5,5820,29,26,35,1.3
Tyrone Washington,HOU,1999,2,44,,,Mississippi State University,,,,,,,,,47,47,47,0
Ryan Robertson,SAC,1999,2,45,22.276,G,University of Kansas,2000,2000,1,0.0,-0.022,-8.4,0.0,25,48,48,48,0
J.R. Koch,NYK,1999,2,46,,,University of Iowa,,,,,,,,,49,49,49,0
Todd MacCulloch,PHI,1999,2,47,23.160,C,University of Washington,2000,2003,223,11.9,0.166,0.2,1.9,3439,14,2,20,4.7
Galen Young,MIL,1999,2,48,,,University of North Carolina at Charlotte,,,,,,,,,50,50,50,0
Lari Ketner,CHI,1999,2,49,22.154,F-C,University of Massachusetts Amherst,2000,2001,25,0.0,-0.015,-11.2,-0.3,139,51,51,51,0
Venson Hamilton,HOU,1999,2,50,21.328,C,University of Nebraska,,,,,,,,,52,52,52,0
Antwain Smith,VAN,1999,2,51,,,Saint Paul's College,,,,,,,,,53,53,53,0
Roberto Bergersen,POR,1999,2,52,,,Boise State University,,,,,,,,,54,54,54,0
Rodney Buford,MIA,1999,2,53,21.245,G-F,Creighton University,2000,2005,230,2.9,0.033,-4.6,-2.8,4182,34,33,38,0.0
Melvin Levett,DET,1999,2,54,,,University of Cincinnati,,,,,,,,,55,55,55,0
Kris Clack,BOS,1999,2,55,,,University of Texas at Austin,,,,,,,,,56,56,56,0
Tim Young,GSW,1999,2,56,23.150,C,Stanford University,2000,2000,25,0.2,0.058,-7.9,-0.2,137,57,57,57,0
Manu Ginobili,SAS,1999,2,57,21.342,G,,2003,2016,923,101.2,0.200,5.4,45.5,24269,1,1,2,48.3
